3,7,57.14286%
2,8,75%
2,8,75%
0,73,100%
33,78,57.692307%
33,76,56.578945%
9,34,73.52941%
9,32,71.875%
4,13,69.230774%
4,11,63.636364%
7,12,41.666664%
7,10,30.000002%
1,8,87.5%
2,8,75%
2,8,75%
2,8,75%
2,5,60.000004%
3,7,57.14286%
2,5,60.000004%
3,7,57.14286%
3,6,50%
3,6,50%
1,71,98.591545%
33,76,56.578945%
13,71,81.69014%
18,117,84.61539%
27,123,78.048775%
76,106,28.301886%
57,86,33.720932%
34,73,53.424656%
23,91,74.72527%
69,91,24.175825%
43,100,57%
